event_id|time|elapsed|dev|rts|seq|L|S|M|port|cancel|fanout|send_event_id|type
597|1.0|0.0|n_2_9|1|597|[]|{"lastFlipTime": 0.412985, "spins": [-1, -1, 1, 1, -1], "spin": -1, "rts": 1, "rng": 3191281900, "times": [0.710006, 1.21399, 1.10507, 2.40271, 2.5654]}|{"spin": 4294967295, "time": 0.710006}|out|True|1||send
667|1.0|0.0|n_8_3|0|667|[]|{"spins": [1, -1, 1, 1, 1], "rng": 3062913821, "times": [0.779887, 5.93263, 1.12419, 1.4507, 0.653618], "spin": 1}|{"spin": 1, "time": 0.779887}|out|True|1||send
1045|3.0|0.0|n_5_3|1|1045|[]|{"lastFlipTime": 0.691183, "spins": [1, 1, 1, -1, 1], "spin": 1, "rts": 1, "rng": 3607054585, "times": [0.865735, 2.35909, 2.23429, 2.91204, 1.20649]}||in|||1042|recv
693|1.0|0.0|n_2_6|0|693|[]|{"spins": [1, 1, -1, -1, 1], "rng": 1730325499, "times": [0.924206, 0.305191, 2.82, 0.47047, 0.228866], "spin": 1}||in|||692|recv
361|0.0|0.0|n_8_7|0|361|[]|{"spins": [1, 1, 1, -1, 1], "rng": 1984297774, "times": [0.772179, 2.753, 2.03962, 0.18945, 0.343659], "spin": 1}||in|||357|recv
1065|3.0|0.0|n_0_15|0|1065|[]|{"lastFlipTime": 0.666961, "spins": [-1, -1, 1, -1, 1], "rng": 1026376595, "times": [2.09837, 1.6046, 2.65597, 1.2781, 2.20646], "spin": -1}||in|||1062|recv
547|1.0|0.0|n_0_15|0|547|[]|{"lastFlipTime": 0.666961, "spins": [-1, -1, -1, -1, 1], "rng": 1026376595, "times": [2.09837, 1.6046, 0.973556, 1.2781, 2.20646], "spin": -1}|{"spin": 4294967295, "time": 2.09837}|out|True|1||send
557|1.0|0.0|n_14_0|1|557|[]|{"lastFlipTime": 0.0201067, "spins": [-1, -1, -1, 1, -1], "spin": -1, "rts": 1, "rng": 3931139108, "times": [0.659636, 1.47316, 1.11849, 3.0035, 1.34615]}|{"spin": 4294967295, "time": 0.659636}|out|True|1||send
442|0.0|0.0|n_13_15|0|442|[]|{"lastFlipTime": 0.366813, "spins": [-1, -1, -1, -1, 1], "rng": 589421735, "times": [2.35287, 0.797783, 1.47316, 1.34615, 1.18816], "spin": -1}|{"spin": 4294967295, "time": 2.35287}|out|True|1||send
915|2.0|0.0|n_9_8|0|915|[]|{"spins": [-1, 1, -1, -1, 1], "rng": 2151701098, "times": [0.691185, 2.03962, 1.05782, 1.09915, 0.332555], "spin": -1}||in|||912|recv
428|0.0|0.0|n_2_2|0|428|[]|{"spins": [1, 1, 1, 1, -1], "rng": 932265108, "times": [1.52758, 0.62305, 1.36306, 3.71758, 0.740431], "spin": 1}||in|||427|recv
747|1.0|0.0|n_13_2|0|747|[]|{"spins": [1, -1, -1, 1, 1], "rng": 1617095227, "times": [1.61473, 0.727184, 1.83076, 4.12649, 2.50841], "spin": 1}|{"spin": 1, "time": 1.61473}|out|True|1||send
569|1.0|0.0|n_6_4|0|569|[]|{"lastFlipTime": 0.270671, "spins": [-1, 1, 1, 1, -1], "rng": 1130890977, "times": [1.60511, 0.854235, 0.34656, 4.20325, 2.91204], "spin": -1}||in|||567|recv
197|0.0|0.0|n_11_7|0|197|[]|{"spins": [-1, -1, -1, 1, 1], "rng": 864720928, "times": [1.60279, 1.27945, 1.63885, 0.124071, 0.0681696], "spin": -1}||||||init
246|0.0|0.0|n_2_15|0|246|[]|{"spins": [1, 1, -1, -1, -1], "rng": 1205476200, "times": [1.27057, 2.92308, 1.30138, 1.25318, 0.973556], "spin": 1}||||||init
1259|4.0|0.0|n_11_5|1|1259|[]|{"spins": [1, -1, 1, -1, 1], "rng": 1859752319, "times": [0.837001, 2.38688, 0.843107, 1.27945, 3.07747], "spin": 1, "rts": 1}||in|||1257|recv
629|1.0|0.0|n_9_5|0|629|[]|{"spins": [1, -1, -1, 1, -1], "rng": 1812955070, "times": [0.862486, 0.840067, 0.402859, 4.72294, 0.55957], "spin": 1}||in|||627|recv
167|0.0|0.0|n_0_6|0|167|[]|{"spins": [1, -1, 1, 1, -1], "rng": 2843612768, "times": [0.412369, 1.08052, 0.120377, 0.883045, 0.448466], "spin": 1}||||||init
817|2.0|0.0|n_5_0|1|817|[]|{"lastFlipTime": 0.920343, "spins": [1, -1, 1, -1, 1], "spin": 1, "rts": 1, "rng": 4035581582, "times": [0.982637, 2.37178, 1.42217, 3.22032, 1.47701]}|{"spin": 1, "time": 0.982637}|out|True|1||send
1084|3.0|0.0|n_5_9|0|1084|[]|{"spins": [1, -1, -1, -1, -1], "rng": 1088106389, "times": [1.37301, 1.18787, 0.814713, 0.681632, 0.668679], "spin": 1}||in|||1082|recv
1244|4.0|0.0|n_5_13|0|1244|[]|{"lastFlipTime": 0.167372, "spins": [1, 1, -1, 1, -1], "rng": 38420098, "times": [4.88399, 1.81475, 1.19177, 4.61898, 2.0757], "spin": 1}||in|||1242|recv
184|0.0|0.0|n_2_4|0|184|[]|{"spins": [1, 1, 1, 1, 1], "rng": 3135733246, "times": [0.314581, 0.220972, 1.7472, 0.305191, 0.382913], "spin": 1}||||||init
1169|4.0|0.0|n_15_0|1|1169|[]|{"spins": [-1, 1, -1, -1, -1], "rng": 1403475711, "times": [1.11849, 2.20646, 1.2781, 1.73188, 2.04249], "spin": -1, "rts": 1}||in|||1167|recv
424|0.0|0.0|n_1_12|0|424|[]|{"spins": [1, 1, 1, 1, -1], "rng": 937599765, "times": [1.52188, 1.70049, 1.18244, 1.73297, 0.430593], "spin": 1}||in|||422|recv
13|0.0|0.0|n_4_11|0|13|[]|{"spins": [1, -1, 1, -1, -1], "rng": 308909829, "times": [2.63215, 0.1415, 0.0256311, 2.84589, 5.0733], "spin": 1}||||||init
1132|4.0|0.0|n_13_2|0|1132|[]|{"lastFlipTime": 1.61473, "spins": [-1, -1, -1, 1, 1], "rng": 1295924127, "times": [2.81806, 3.18347, 1.83076, 4.12649, 2.50841], "spin": -1}|{"spin": 4294967295, "time": 2.81806}|out|True|1||send
644|1.0|0.0|n_11_5|0|644|[]|{"spins": [1, -1, 1, -1, 1], "rng": 1859752319, "times": [0.837001, 0.0974943, 0.843107, 1.27945, 3.07747], "spin": 1}||in|||642|recv
1050|3.0|0.0|n_12_0|0|1050|[]|{"spins": [1, 1, -1, 1, -1], "rng": 272741873, "times": [2.75667, 2.07215, 1.34615, 2.38793, 3.44538], "spin": 1}||in|||1047|recv
343|0.0|0.0|n_3_14|0|343|[]|{"spins": [-1, -1, 1, -1, 1], "rng": 599541971, "times": [1.96903, 0.374498, 5.13255, 1.30138, 2.92308], "spin": -1}||in|||342|recv
138|0.0|0.0|n_5_10|0|138|[]|{"spins": [-1, 1, 1, 1, -1], "rng": 2172355894, "times": [0.681632, 1.37301, 0.024363, 0.0256311, 0.1415], "spin": -1}||||||init
1098|3.0|0.0|n_2_2|0|1098|[]|{"spins": [1, -1, 1, 1, -1], "rng": 932265108, "times": [1.52758, 1.46376, 1.83288, 3.71758, 0.740431], "spin": 1}||in|||1097|recv
545|1.0|0.0|n_6_1|0|545|[]|{"spins": [1, 1, 1, 1, 1], "rng": 229939838, "times": [2.92738, 1.42217, 0.969349, 1.59683, 0.341438], "spin": 1}||in|||542|recv
26|0.0|0.0|n_11_0|0|26|[]|{"spins": [-1, -1, 1, -1, 1], "rng": 2691154566, "times": [0.467474, 2.99309, 2.75667, 1.4644, 0.100017], "spin": -1}||||||init
1150|4.0|0.0|n_9_1|0|1150|[]|{"spins": [1, 1, -1, -1, -1], "rng": 2369406509, "times": [1.02766, 1.60942, 0.72474, 1.00577, 1.5541], "spin": 1}||in|||1147|recv
55|0.0|0.0|n_10_2|0|55|[]|{"spins": [-1, -1, 1, -1, -1], "rng": 2294367446, "times": [0.626987, 0.72474, 0.638503, 4.39314, 0.288724], "spin": -1}||||||init
427|0.0|0.0|n_2_3|0|427|[]|{"spins": [1, 1, -1, 1, 1], "rng": 130137978, "times": [3.71758, 1.52758, 0.505912, 0.314581, 0.932686], "spin": 1}|{"spin": 1, "time": 3.71758}|out|True|1||send
431|0.0|0.0|n_1_3|0|431|[]|{"spins": [1, -1, 1, 1, 1], "rng": 1690049302, "times": [0.932686, 0.740431, 3.71758, 0.382913, 0.110215], "spin": 1}||in|||427|recv
373|0.0|0.0|n_9_14|0|373|[]|{"spins": [-1, -1, -1, 1, -1], "rng": 1569375528, "times": [1.00677, 1.93417, 0.606359, 0.628775, 0.832398], "spin": -1}||in|||372|recv
401|0.0|0.0|n_14_6|0|401|[]|{"spins": [1, 1, -1, 1, -1], "rng": 2224724130, "times": [0.657811, 0.8354, 0.448466, 1.21552, 0.601181], "spin": 1}||in|||397|recv
890|2.0|0.0|n_1_9|0|890|[]|{"spins": [-1, 1, -1, -1, -1], "rng": 330232284, "times": [2.5654, 0.966749, 0.710006, 1.87183, 1.41814], "spin": -1}||in|||887|recv
794|2.0|0.0|n_2_0|1|794|[]|{"spins": [-1, 1, 1, -1, -1], "rng": 1226617027, "times": [1.25318, 1.27057, 1.37194, 1.46376, 1.62512], "spin": -1, "rts": 1}||in|||792|recv
86|0.0|0.0|n_14_0|1|86|[]|{"spins": [1, -1, -1, 1, -1], "rng": 4209471984, "times": [0.0201067, 1.47316, 1.11849, 3.0035, 1.34615], "spin": 1, "rts": 1}||||||init
700|1.0|0.0|n_5_15|0|700|[]|{"lastFlipTime": 0.555115, "spins": [-1, -1, -1, -1, 1], "rng": 698219097, "times": [2.37178, 1.18732, 0.918344, 0.920343, 1.81767], "spin": -1}||in|||697|recv
1042|3.0|0.0|n_4_3|0|1042|[]|{"lastFlipTime": 0.0721432, "spins": [1, 1, 1, 1, 1], "rng": 2627635988, "times": [1.20649, 1.42846, 0.865735, 2.8533, 1.64511], "spin": 1}|{"spin": 1, "time": 1.20649}|out|True|1||send
254|0.0|0.0|n_15_8|1|254|[]|{"spins": [1, -1, -1, -1, 1], "rng": 4193631122, "times": [0.0238769, 0.659376, 0.272286, 1.22222, 0.16284], "spin": 1, "rts": 1}||||||init
651|1.0|0.0|n_15_12|0|651|[]|{"spins": [-1, -1, 1, -1, 1], "rng": 1049764767, "times": [1.40888, 1.90366, 2.66915, 0.148708, 1.67608], "spin": -1}||in|||647|recv
